10468200	LA MER/海蓝之谜	912192.25	35
10552075	浪莎	910189.75	45
10976874	不多言	904923.5	2
10189360	Sansui/山水	904058	4
10058603	lovo	898390.5	23
10215086	Sellion/雪尔妮兰	888051.43	10
10053592	MAC/魅可	884419.21	100
10943574	红小厨	882801	19
10794168	M＆G/晨光	881330.24	97
10937928	春禾秋牧	878862.4	1
10796250	周黑鸭	877736.5	27
10001507	One Leaf/一叶子	872705.86	52
10660652	JMSOLUTION	872289	5
10184414	Dr.Jart+/蒂佳婷	868518.7	32
10025964	cemoy	866597.3	20
11030826	比比赞	861518.8	12

#第三批
10766953	Bosideng/波司登	852063.21	29
10216170	超能	838531.23	19
10055645	Milkland/妙可蓝多	831211.04	19
10410312	innisfree/悦诗风吟	826010.4	63
10621122	韩熙贞	824451.4	30
10109025	Deold/递欧	809895.83	60
10552505	Yalget/雅丽洁	808707.5	4
10701009	老庙	803592.1	67
10941275	海天/HTDZ	802008.99	20
10685413	AUX/奥克斯	795404.41	20
10658374	GOLDENMONKEY/金丝猴	792102.19	29
10086562	VANESSA HOGAN	788376	36
10549506	CAFINE/刻凡（百货食品）	784883.27	64
10292037	金龙鱼	780484.5	14
10451336	Aekyung Age 20's/爱纪二十之	778807.31	41
10936913	今锦上	746149	4
10207137	舒莱	723706.2	1
10937545	Harbin Beer/哈尔滨啤酒	722402.3	7
10487571	古方	721940.61	23
10788335	八马	710831	8
10214126	高洁丝	706315.7	11
10901979	小寻	683279	5
10125692	奥利奥	667980.8	30
11027792	名仕罗纳德	661048.78	31
10178643	UNNY CLUB/悠宜	637998.12	61
10341267	形象美	625162.08	47
10740419	AIMDUO/爱慕哆	616742	36
10266385	SIMEITOL/姿美堂	614428.3	7
10756301	L'OREAL /欧莱雅	610991.33	100
10358212	SOFY/苏菲	597040.9	17
10862278	活力28	595708.3	20
10839022	Baleno/班尼路	591951.6	59
10232854	ADAOFU/阿道夫	591575.08	63
10652455	Konka/康佳	582292.26	13
10628073	Coati/小浣熊	579484.59	56
10336661	BLACKMORES/澳佳宝	578997.8	6
10007349	梵贞	576580.8	46
10662151	Haruhada/泉肌	576011.58	2
10365174	HANSKIN/韩斯清	571529.3	4
10585024	柴火大院	568836	4
10540651	Pioneer/先锋	561976	3
10841443	BABAKA/背背佳	561791.53	24
10078588	会说话的汤姆猫	559135.9	7
10496621	Little Dream Garden/半亩花田	556536.3	31
