brand_id_std	brand_name_std	secondary_mkt_industry1	 brand_sale_amount
10932666	SHISEIDO PROFESSIONAL/资生堂专业美发	美妆个护	 23,531,651
10278311	First aid beauty/急救美人	美妆个护	 32,259,377
10901051	澳宝	美妆个护	 20,221,810
10570556	Banila CO/芭妮兰	美妆个护	 20,971,251
10324237	DHC	美妆个护	 24,092,840
10528933	SENKA/珊珂	美妆个护	 23,213,800
10489566	Cetaphil/丝塔芙	美妆个护	 26,217,446
10396168	三生花	美妆个护	 21,855,593
10276467	COCOESSENCE/遇见香芬	美妆个护	 19,528,937
10983991	farmacy	美妆个护	 24,645,126
10077408	葆丽匙	美妆个护	 21,855,749
10043256	DERMAFIRM+/德妃	美妆个护	 19,359,028
10492497	大宝	美妆个护	 19,368,553
10050719	金泰康	美妆个护	 31,155,113
12658767	NewDerm	美妆个护	 27,790,290
10715285	Herbal Whisper/荟诗	美妆个护	 20,349,690
10468298	Nestle/雀巢	食品饮料	 300,223,943
10720832	aptamil/爱他美	食品饮料	 288,479,367
10292037	金龙鱼	食品饮料	 296,203,418
10696502	FIRMUS/飞鹤	食品饮料	 238,267,066
10787586	Swisse	食品饮料	 227,660,630
10324436	Mead Johnson/美赞臣	食品饮料	 173,032,171
10558727	爱司盟	食品饮料	 168,299,225
10515850	十月稻田	食品饮料	 150,238,929
10357724	a 2	食品饮料	 112,778,317
10435846	鲁花	食品饮料	 150,587,696
11012498	PINECAT/松猫	食品饮料	 187,535,122
10252444	Wyeth/惠氏	食品饮料	 108,504,901
10540334	Abbott/雅培	医药保健	 24,617,858
10756538	BIOSTIME/合生元	食品饮料	 108,015,083
10937499	京觅	食品饮料	 113,891,056
10431904	ROYAL CANIN/皇家	食品饮料	 100,455,139
10062399	MYFOODIE/麦富迪	食品饮料	 98,424,845
10505098	Coca－Cola/可口可乐	食品饮料	 73,725,108
10786321	汾酒	食品饮料	 127,162,038
10943464	光明（牛奶）	食品饮料	 86,440,629
10723886	旺旺	食品饮料	 87,676,105
10340104	MUSCLETECH/麦斯泰克	食品饮料	 72,897,007
10140654	海底捞	食品饮料	 78,191,201
10866697	bio island	食品饮料	 75,433,269
10262448	ART EXHIBITION/展艺	轻工制造	 25,352,345
10915000	安佳	食品饮料	 83,287,662
10662626	德亚（德国）	食品饮料	 77,828,035
10120690	碧生源	医药保健	 10,291,653
10266385	SIMEITOL/姿美堂	食品饮料	 64,307,538
10909349	习酒	食品饮料	 96,476,949
10624109	Gerber/嘉宝	食品饮料	 63,967,761
10047221	Dove/德芙	食品饮料	 56,100,123
10872840	恒都	食品饮料	 89,874,058
10936828	雅塑	食品饮料	 64,278,683
10936830	Member	食品饮料	 70,232,851
10585024	柴火大院	食品饮料	 82,253,606
10409700	欧贝拉	食品饮料	 61,721,430
10632648	KEYLID/健力多	食品饮料	 61,028,515
10064097	来伊份	食品饮料	 65,193,872
10707440	双汇	食品饮料	 54,601,160
10048118	HADAY/海天	食品饮料	 53,150,394
10493884	达利园	食品饮料	 54,400,984
10558169	牛栏山	食品饮料	 73,365,747
12659744	台溢	食品饮料	 143,894,897
11028271	姑苏渔歌	食品饮料	 135,757,442
10818660	XINLANGLIQUOR/新郎酒	食品饮料	 84,805,183
10001451	Childlife/童年时光	食品饮料	 49,170,544
10079441	KABRITA/佳贝艾特	食品饮料	 52,217,634
10684879	Nutrilon/诺优能(牛栏)	食品饮料	 50,428,744
10937518	TSINGTAO/青岛啤酒	食品饮料	 38,694,342
11030826	比比赞	食品饮料	 56,374,861
10009033	Devondale/德运	食品饮料	 49,144,529
10943384	北京同仁堂	医药保健	 186,411,359
10936731	凯锐思	食品饮料	 43,572,789
10641544	胡姬花	食品饮料	 64,490,496
10485822	西凤	食品饮料	 68,444,706
12655100	奈力士	食品饮料	 91,709,467
10627830	斐尔特	食品饮料	 94,099,552
10684872	BEINGMATE/贝因美	食品饮料	 41,307,619
10624475	Pure＆Natural/伯纳天纯	食品饮料	 45,179,334
10527179	兰雀	食品饮料	 48,619,329
10212464	Little Freddie/小皮	食品饮料	 44,625,942
10612504	Heinz/亨氏	食品饮料	 41,107,027
